E_center_GeV,E_low_GeV,E_high_GeV,N_counts_original,N_counts_scaled_last,I_bin_GeV,Aeff_cm2_sr_original,Aeff_cm2_sr_scaled_last,Aeff_avg_m2_original,Aeff_avg_m2_scaled_last
110.0,94.19837224354427,128.4523257866513,9000.0,9000.0,28309052.514964495,736422.6048335565,736422.6048335565,11.720529776387002,11.720529776387002
150.0,128.4523257866513,173.20508075688772,12000.0,12000.0,20114867.497189708,1381891.69089996,1381891.69089996,21.993489342434618,21.993489342434618
200.0,173.20508075688772,209.76176963403032,18000.0,18000.0,10061897.456682963,4143835.948078271,4143835.948078271,65.95119744985473,65.95119744985473
220.0,209.76176963403032,289.1366458960192,23000.0,23000.0,13087406.268975886,4070841.443500879,4070841.443500879,64.78945382765114,64.78945382765114
380.0,289.1366458960192,413.52146256270663,40000.0,40000.0,10403181.522970006,8906431.875846792,8906431.875846792,141.75026583522387,141.75026583522387
450.0,413.52146256270663,561.2486080160912,60000.0,60000.0,6365125.542838764,21835051.069175944,21835051.069175944,347.5156310323326,347.5156310323326
700.0,561.2486080160912,877.4964387392122,80000.0,80000.0,6421358.481531161,28858450.37086513,28858450.37086513,459.29650264953256,459.29650264953256
1100.0,877.4964387392122,1483.2396974191327,60000.0,60000.0,4654059.0213313745,29862715.675196186,29862715.675196186,475.27988138552996,475.27988138552996
2000.0,1483.2396974191327,2449.489742783178,40000.0,40000.0,2659515.7199937906,34839135.12141856,34839135.12141856,554.4820567620224,554.4820567620224
3000.0,2449.489742783178,4582.57569495584,20000.0,20000.0,1900304.0022787063,24379053.93434288,24379053.93434288,388.0046941554588,388.0046941554588
7000.0,4582.57569495584,7937.253933193771,5000.0,5000.0,922297.3256624996,12557667.813338397,12557667.813338397,199.86149061987985,199.86149061987985
9000.0,7937.253933193771,13416.407864998739,2500.0,2500.0,514525.58419749426,11254934.444964824,11254934.444964824,179.12784510913895,179.12784510913895
20000.0,13416.407864998739,24494.89742783178,820.0,820.0,337107.7020360668,5634496.491237067,5634496.491237067,89.67579684143193,89.67579684143193
30000.0,24494.89742783178,36742.34614174767,370.0,370.0,136082.76348795436,6298085.316992174,6298085.316992174,100.2371410213791,100.2371410213791
45000.0,36742.34614174767,56124.860801609124,200.0,200.0,93991.3657009591,4928922.291712959,4928922.291712959,78.44623468419505,78.44623468419505
70000.0,56124.860801609124,102469.50765959598,100.0,100.0,80584.15398009626,2874486.5755271697,2874486.5755271697,45.74887473464438,45.74887473464438
150000.0,102469.50765959598,212132.03435596425,33.0,33.0,50449.55521575016,1515188.0404570128,1515188.0404570128,24.11496663524563,24.11496663524563
300000.0,212132.03435596425,387298.33462074166,10.0,10.0,21320.563104387053,1086453.8036912251,1086453.8036912251,17.291449329845015,17.291449329845015
500000.0,387298.33462074166,707106.7811865475,3.0,3.0,11677.75335098516,595075.2559689735,595075.2559689735,9.470916849913703,9.470916849913703
1000000.0,707106.7811865475,2000000.0,2.0,2.0,9142.135623730952,506748.2661594303,506748.2661594303,8.065149146252075,8.065149146252075
4000000.0,2000000.0,8000000.0,1.0,0.7692307692307692,3750.0,617701.5168426696,475155.01295589964,9.831024976087251,7.562326904682501
