E_center_GeV,Muon_Aeff_m2_Omega2pi,Electron_Aeff_m2_Omega2pi,Tau_Aeff_m2_Omega2pi
501.1900693349779,0.0031484811577710417,0.013521737919122976,0.008517630185274317
794.3299062732058,0.013972008590113834,0.06122998933555752,0.03857007202239844
1258.928115501437,0.03954236811412915,0.19408234784519426,0.12225659706783892
1995.2719889779437,0.08397919480714747,0.42295383641785644,0.26642761349156313
3162.2974385721527,0.14303075652198077,0.7312764121695474,0.460646558846959
5011.900693349779,0.22669064335951497,1.1590061073533977,0.730082587309227
7943.299062732058,0.3243501994133569,1.775669690731168,1.1185320886495547
12589.281155014372,0.39542368114129145,2.3775087611036296,1.4976433140810266
19952.719889779437,0.5013683272068507,2.7684251110986966,1.7438898337629587
31622.97438572153,0.5562307198077029,2.681346844621674,1.6890373824388498
50119.006933497796,0.5667266083987874,3.0906829529423936,1.9468868994912716
79432.99062732059,0.49900030678977975,3.0614994667778754,1.9285036011199217
199527.19889779435,0.7520524908102761,3.3964410872908988,2.1394904486871806
316229.7438572153,0.794615314011004,3.0760279012207756,1.9376553708477326
501190.06933497795,0.8186051010204706,3.6563820608477364,2.3032327942347948
794329.9062732059,0.8483005215426258,3.4770183220601925,2.1902477619276803
,,3.061499466777876,1.928503601119922
,,5.383048827136352,3.390896898983529
,,4.875176081130316,3.070977058979727
,,6.954036644120387,4.3804955238553624
,,12.245997867111505,7.7140144044796894
