Energy_GeV,Taon_m2_sr,AllFlavour_m2_sr,Electron_m2_sr,Taon_Effective_m2,Electron_Effective_m2
30000.0,3.0,3.0,0.0,0.477464829275686,0.0
100000.0,45.0,45.0,0.0,7.16197243913529,0.0
200000.0,150.0,150.0,0.0,23.8732414637843,0.0
300000.0,320.0,320.0,0.0,50.92958178940651,0.0
400000.0,500.0,500.0,0.0,79.57747154594767,0.0
500000.0,630.0,6300.0,5670.0,100.26761414789407,902.4085273310466
600000.0,850.0,28000.0,27150.0,135.28170162811105,4321.056704944958
700000.0,1000.0,40000.0,39000.0,159.15494309189535,6207.042780583918
800000.0,1500.0,30000.0,28500.0,238.73241463784302,4535.915878119017
900000.0,2000.0,2000.0,0.0,318.3098861837907,0.0
1000000.0,2200.0,2200.0,0.0,350.1408748021698,0.0
4000000.0,9000.0,9000.0,0.0,1432.3944878270581,0.0
10000000.0,20000.0,20000.0,0.0,3183.098861837907,0.0
40000000.0,40000.0,40000.0,0.0,6366.197723675814,0.0
100000000.0,50000.0,50000.0,0.0,7957.747154594767,0.0
1000000000.0,70000.0,70000.0,0.0,11140.846016432673,0.0
