E_bin_min_GeV,E_bin_max_GeV,E_center_GeV,Muon_Aeff_m2,Electron_Aeff_m2,Tau_Aeff_m2,N_muon_sources,N_electron_sources,N_tau_sources
109.999,232.892,160.05588745185227,164.45467039632751,0.0,0.0,4,0,4
232.892,493.079,338.8718850362184,489.2658968675564,0.0,0.0,2,0,2
493.079,1043.947,717.4596454247444,459.2992274601041,0.01189710689723954,0.007494240565190263,3,2,3
1043.947,2210.245,1519.0058054579645,1029.7815972148696,0.09820435879202606,0.06186101341229988,4,2,4
2210.245,4679.532,3216.0398326730965,388.02745820737346,0.11638625576328972,0.07331417685876518,2,1,2
4679.532,9907.507,6809.001104914289,379.07703660299165,0.4670681596373116,0.2942161635510625,4,2,4
9907.507,20976.177,14416.019577565057,89.81852572248584,0.8190008125850179,0.5159060236756019,3,2,3
20976.177,44410.769,30521.60138737994,100.32566788993606,0.42674960446539567,0.268818648482139,2,1,2
44410.769,94026.493,64620.34401411925,124.36472512537776,0.9791502429015384,0.6167875545836463,4,2,4
94026.493,199072.921,136814.21202819556,24.11496663524563,0.0,0.0,1,0,1
199072.921,421477.252,289663.09342181147,17.537609156303414,1.0301254335306331,0.6488979108854382,3,2,3
421477.252,892351.772,613274.7937750992,9.736213119412295,1.1353159319934158,0.7151596422005769,3,2,3
892351.772,1889287.455,1298425.588274746,8.065149146252075,0.0,0.0,1,0,1
1889287.455,4000000.0,2749027.067891475,7.562326904682501,0.0,2.26869807140475,1,0,1
