Energy (GeV),electron fraction,muon fraction,taon fraction
2000000.0,1.0,0.0,0.0
3000000.0,1,0.0,0
4000000.0,0.86,0.07,0.07
5000000.0,0.82,0.09,0.09
8000000.0,0.84,0.08,0.08
10000000.0,0.84,0.08,0.08
20000000.0,0.76,0.12,0.12
40000000.0,0.80,0.10,0.10
60000000.0,0.68,0.16,0.16
80000000.0,0.64,0.17,0.17
100000000.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
200000000.0,0.5384615384615384,0.23076923076923078,0.23076923076923078
400000000.0,0.4782608695652174,0.2608695652173913,0.2608695652173913
600000000.0,0.46875,0.3125,0.21875
800000000.0,0.45,0.3,0.25
1000000000.0,0.4444444444444444,0.3333333333333333,0.2222222222222222
2000000000.0,0.4153846153846154,0.3076923076923077,0.27692307692307694
4000000000.0,0.35294117647058826,0.35294117647058826,0.29411764705882354
